,sentences,target
0,"From: mccall@mksol.dseg.ti.com (fred j mccall 575-3539)
Subject: Re: Vandalizing the sky.
Article-I.D.: mksol.1993Apr22.204742.10671
Organization: Texas Instruments Inc
Lines: 62

In <C5tvL2.1In@hermes.hrz.uni-bielefeld.de> hoover@mathematik.uni-bielefeld.de (Uwe Schuerkamp) writes:

>In article <C5t05K.DB6@research.canon.oz.au> enzo@research.canon.oz.au 
>(Enzo Liguori) writes:

>> hideous vision of the future.  Observers were
>>startled this spring when a NASA launch vehicle arrived at the
>>pad with ""SCHWARZENEGGER"" painted in huge block letters on the

>This is ok in my opinion as long as the stuff *returns to earth*.

>>What do you think of this revolting and hideous attempt to vandalize
>>the night sky? It is not even April 1 anymore.

>If this turns out to be true, it's time to get seriously active in
>terrorism. This is unbelievable! Who do those people think they are,
>selling every bit that promises to make money? 

Well, I guess I'm left wondering just who all the 'light fascists'
think *they* are.  Yes, I understand the issues.  I don't even
particularly care for the idea.  But am I the only one that finds the
sort of overreaction above just a *little* questionable?  You must
find things like the Moon *really* obnoxious in their pollution.

A few questions for those frothing at the mouth to ask themselves:

	1) How long is this thing supposed to stay up?  Sounds like it
would have a *huge* drag area, not a lot of mass, and be in a fairly
low orbit.

	2) Just what orbital parameters are we talking about here?
What real impact are we talking about, really?  How many optical
astronomers are *really* going to be impacted?

	3) Which is more important; adding a few extra days of
'seeing' for (very few) optical astronomers or getting the data the
sensors are supposed to return along with the data for large
inflatables (and the potential there for an inflatable space station)?
The choice would seem to be one or the other, since the advertising is
being used to help fund this thing.

	4) If your answer to 3) above was ""the astronomers"", then feel
free to come up with some other way to fund the (to my mind) more
important research data that would be gained by this WITHOUT SPENDING
ANY MORE OF MY MONEY TO DO IT.  In other words, put up or shut up.

>I guess we really
>deserve being wiped out by uv radiation, folks. ""Stupidity wins"". I
>guess that's true, and if only by pure numbers.

Probably so.  I'm just not sure we agree about who the 'stupid' are. 

>	Another depressed planetary citizen,
>	hoover

Yeah, me too.

-- 
""Insisting on perfect safety is for people who don't have the balls to live
 in the real world.""   -- Mary Shafer, NASA Ames Dryden
------------------------------------------------------------------------------
Fred.McCall@dseg.ti.com - I don't speak for others and they don't speak for me.
",1
1,"From: epritcha@s.psych.uiuc.edu ( Evan Pritchard)
Subject: Re: div. and conf. names
Distribution: na
Organization: UIUC Department of Psychology
Lines: 59

maynard@ramsey.cs.laurentian.ca (Roger Maynard) writes:
>In <115873@bu.edu> Jason Gibson writes:

>>I can live with the other changes that have been made (e.g. the playoff format
>>change), but the change to the division and conference names really annoys me.
>>""Batman"" was on TSN last night saying that changing the names would make the
>>game easier for the ""occasional fan to follow"".  He should have said what he
>>meant: that changing the names will make the game easier for _Americans_ in 
>>non-hockey cities to follow.  I don't know of too many of my friends who had 
>>a hard time following which teams were in each division. Even a minimal amount
>>of exposure to the game allows a person to quickly pick up on this.

>There is nothing wrong with making the game easier for ""_Americans_"" to
>follow.  The more fans the merrier and even if you dislike the ""occasional""
>fan there is always the chance that these fans will become fanatics.

>I am glad that the names are being changed for another reason.  The names
>Patrick, Smythe, Norris, Adams and Campbell are all the names of so-called
>""builders"" of the game.  This is the same type of thinking that put Stein
>in the Hall of Fame.  This is absolute nonsense.  The real builders of the
>game are Richard, Morenz, Howe, Conacher, Orr, etc.  If you are going to
>name the divisions after people at least name the divisions after people
>who deserve it.

	I think that you are incorrect, Roger.  Patrick,
Smythe and Adams all played or coached in the league before becoming
front office types.  Hence, they did help build the league, although
they were not great players themselves.  

	I agree that a name is a name is a name, and if some people
have trouble with names that are not easily processed by the fans,
then changing them to names that are more easily processed seems like
a reasonable idea.  If we can get people in the (arena) door by being
uncomplicated, then let's do so.  Once we have them, they will realize
what a great game hockey is, and we can then teach them something
abotu the history of the game.  
 
>The history of the names can be put rather succinctly.  All of the aforemen-
>tioned used the game of hockey to make money.  Can you imagine a Pocklington
>division?  A Ballard division?  Or how about a Green division?

	No, I would not want to see a Ballard division.  But to say
that these owners are assholes, hence all NHL management people are
assholes would be fallacious.  Conn Smythe, for example, was a classy
individual (from what I have heard). 

	Also, isn't the point of ""professional"" hockey to make money
for all those involved, which would include the players.  What I think
you might be saying is that the players have not made as much money as
should have been their due, and it is the players that are what make
the game great not the people who put them on the ice, so naming
division after management people rather than players is adding insult
(in the form of lesser recognition) to injury (less money than was
deserved).   

_______________________
Evan Pritchard --------  Number 1 or 9 depending on the hockey pool 
=======================
epritcha@psych.uiuc.edu  
",0
2,"From: baalke@kelvin.jpl.nasa.gov (Ron Baalke)
Subject: Galileo Update - 04/29/93
Keywords: Galileo, JPL
Organization: Jet Propulsion Laboratory
Lines: 134
NNTP-Posting-Host: kelvin.jpl.nasa.gov
News-Software: VAX/VMS VNEWS 1.41

Forwarded from Neal Ausman, Galileo Mission Director

                                 GALILEO
                     MISSION DIRECTOR STATUS REPORT
                               POST-LAUNCH
                           April 23 - 29, 1993

SPACECRAFT

1.  On April 22 and 23, delta Differenced One-way Range (DOR) passes were
performed over DSS-14/63 (Goldstone/Madrid 70 meter antennas) and DSS-14/43
(Goldstone/Canberra 70 meter antennas), respectively.  Initial results 
indicate the delta DOR pass on April 22 was unsuccessful due to ground
station hardware problems but the one on April 23 was successfully performed.

2.  On April 23, a cruise science Memory Readout (MRO) was performed for the
Magnetometer (MAG) instrument.  Analysis indicates the data was received
properly.

3.  On April 23, the spare power relay contacts were commanded closed via the
spacecraft stored sequence.  These relays were commanded closed by the CDS
(Command Data Subsystem) prior to launch and were again commanded closed to
preclude the possibility at Jupiter of the PPS relays/wiring being a
source of internal electrostatic charge (IESD).

4.  On April 26, cruise science Memory Readouts (MRO) were performed for the
Extreme Ultraviolet Spectrometer (EUV), Dust Detector (DDS), and Magnetometer
(MAG) instruments.  Preliminary analysis indicates the data was received
properly.

5.  During the period from April 26 to April 27, a navigation cycle was
performed.  This navigation cycle provided near-continuous acquisition of
two-way doppler and ranging data during three consecutive passes of the
spacecraft over DSS-63, DSS-14, and DSS-43.

6.  On April 26, real-time commands were sent to test slew the Radio Relay
Antenna (RRA) in preparation for the mini-sequence slew test on April 28.
The RRA was slewed from approximately 3.5 degrees from stow to approximately
20.3 degrees.  Preliminary analysis indicated the antenna slewed to about 18
degrees which was well within the predicted range.  The RRA was commanded back
to approximately 15.2 degrees from stow.  Preliminary analysis indicated the
antenna reached about 15.8 degrees also well within the predicted range.  The
RRA motor temperature was at 1 degree C at the start of the activity and had
increased to 1.6 degrees C at its completion.

     After verifying proper RRA slewing, the RRA slew test mini-sequence was
uplinked to the spacecraft for execution on April 28.  Upon successful uplink,
a Delayed Action Command (DAC) was sent which will reposition the stator on
May 4 to its initial pre-test position.  Also, a DAC was sent to turn the
Two-Way Noncoherent (TWNC) on April 28 prior to the start of the RRA slew test
mini-sequence.

7.  On April 27, a NO-OP command was sent to reset the command loss timer to
264 hours, its planned value during this mission phase.

8.  On April 28, the RRA slew test executed nominally.  The spacecraft under
stored sequence control performed six RRA slews starting at about 16 degrees
from stow and going to 53 degrees, back to 25 degrees, then to 51 degrees,
back to 22 degrees, then to 48 degrees and then back to 21 degrees.  All of
the slews were well within the predicted range.  The RRA motor temperature was
at 2.3 degrees C at the start of the activity and had increased to 4.4
degrees C at its completion.  After completion of the RRA slews, real-time
commands were sent to reconfigure back to the pre-test configuration.

9.  The AC/DC bus imbalance measurements have not exhibited significant change
(greater than 25 DN) throughout this period.  The AC measurement reads 17 DN
(3.9 volts).  The DC measurement reads 134 DN (15.7 volts).  These
measurements are consistent with the model developed by the AC/DC special
anomaly team.

10. The Spacecraft status as of April 29, 1993, is as follows:

       a)  System Power Margin -  75 watts
       b)  Spin Configuration - Dual-Spin
       c)  Spin Rate/Sensor - 3.15rpm/Star Scanner
       d)  Spacecraft Attitude is approximately 23 degrees
           off-sun (lagging) and 4 degrees off-earth (leading)
       e)  Downlink telemetry rate/antenna- 40bps(coded)/LGA-1
       f)  General Thermal Control - all temperatures within
           acceptable range
       g)  RPM Tank Pressures - all within acceptable range
       h)  Orbiter Science- Instruments powered on are the PWS,
           EUV, UVS, EPD, MAG, HIC, and DDS
       i)  Probe/RRH - powered off, temperatures within
           acceptable range
       j)  CMD Loss Timer Setting - 264 hours
           Time To Initiation - 203 hours


GDS (Ground Data Systems):

1.  The first Galileo-GDS test of the MGDS V18.0 Command System (CMD) took
place April 27, 1993 with DSS-61 (Madrid 34 meter antenna).  The test went
well and demonstrated that the new command system interfaced with the new DSN
(Deep Space Network) Group 5 Command Processor Assembly (CPA).  The test was
successful and the next test for V18.0 CMD is scheduled for May 1, 1993 with
DSS-15 (Goldstone 34 meter antenna).

2.  The April System Engineers Monthly Report(SEMR)/Ground System Development
Office (GSDO) MMR was conducted Thursday, April 29.   A review of current
Project and Institutional (DSN and MOSO) system status was conducted.  On-going
cruise development plus the GSDO Phase 1 and 2 delivery schedules, past months
accomplishments  and potential problem areas were discussed.  No significant
schedule changes or significant problems were reported.


TRAJECTORY

     As of noon Thursday, April 29, 1993, the Galileo Spacecraft trajectory
status was as follows:

	Distance from Earth         187,745,300 km (1.26 AU)
	Distance from Sun           296,335,800 km (1.98 AU)
	Heliocentric Speed          89,100 km per hour
	Distance from Jupiter       522,015,800 km
	Round Trip Light Time       20 minutes, 58 seconds

SPECIAL TOPIC

1.  As of April 29, 1993, a total of 70259 real-time commands have been
transmitted to Galileo since Launch.  Of these, 65150  were initiated in the
sequence design process and 5109 initiated in the real-time command process.
In the past week, 74 real time commands were transmitted: 73 were initiated
in the sequence design process and one initiated in the real time command
process.  Major command activities included commands to perform the initial
RRA slew test, uplink the RRA slew test mini-sequence, DACs to reposition the
stator and turn the TWNC on, reset the command loss timer, and execute the
RRA slew test.
     ___    _____     ___
    /_ /|  /____/ \  /_ /|     Ron Baalke         | baalke@kelvin.jpl.nasa.gov
    | | | |  __ \ /| | | |     Jet Propulsion Lab |
 ___| | | | |__) |/  | | |__   M/S 525-3684 Telos | The aweto from New Zealand
/___| | | |  ___/    | |/__ /| Pasadena, CA 91109 | is part caterpillar and
|_____|/  |_|/       |_____|/                     | part vegetable.
",1
3,"From: mse@cc.bellcore.com (25836-michael evenchick(F113))
Subject: Re: #77's?
Organization: Bellcore, Livingston, NJ
Lines: 16

In article <1r23on$4p6@bigboote.WPI.EDU>, ching@bigwpi.WPI.EDU (""The Logistician"") writes:
|> 
|> I am in need of all of the players wearing #77 in the NHL.  I know now only
|> of one, Ray Borque for the Bruins.  Any help would be greatly appreciated.
|> 
|> Thanx.
|> 
|> -- 
|> ------------------------THE LOGISTICIAN REIGNS SUPREME!!!----------------------
|> |									      |
|> |   GO BLUE!!!   GO TIGERS!!!   GO PISTONS!!!   GO LIONS!!!   GO RED WINGS!!! |
|> -------------------------------ching@wpi.wpi.edu-------------------------------

Pierre Turgeon of the Islanders

Mike
",0
4,"From: apanjabi@guvax.acc.georgetown.edu
Subject: Re: How to beat Pittsburgh!
Summary: Take out player
Distribution: world
Organization: Georgetown University
Lines: 42

In article <AfnKOVK00UhB01RDtJ@andrew.cmu.edu>, Robert Angelo Pleshar <rp16+@andrew.cmu.edu> writes:
> 	<kfnJYea00Uh_I1VmUs@andrew.cmu.edu>
> NNTP-Posting-Host: po5.andrew.cmu.edu
> In-Reply-To: <kfnJYea00Uh_I1VmUs@andrew.cmu.edu>
> 
> from Anna Matyas:
>>>Now if we could just clone Chelios's personality and transplant it
>>>into all of the defensemen on the Islanders, Capitals, and Devils...
>>> 
>>>Gerald
>> 
>>In other words, you want to turn them all into assholes so they
>>will spend lots of time in the penalty box and get lots of
>>misconducts?
>> 
>>And this comes from a Chelios fan...
> 
> Yeah, and also be second in the team in scoring and play about 35
> minutes a game and play on the power play and kill penalties and be the
> best defenseman in the league. I'd take a whole team of Chelioses if I
> could. (That way, when one got a penalty the others could kill it!)
> 
> Ralph

>HOW TO BEAT PITTSBURGH???

	I.Mario Lemieux
		A.Death
			1.Too much Kimo
			2.Slash to skull
			3.Ask the Rangers (Slashing his wrist????)
	II.Jaromir Jagr
		A.Deportation
			1.Send him back to whatever Commie country 
			  he's from
			2.Tell him that Bill Clinton is going too
	III.Kevin Stevens
		A.Fighting
			1.Call Bob Probert
			2.Call Tie Domi
			3.Call my grandmother (She'd kick his ass)
 
",0
5,"From: oreilly@olivia.la.asu.edu (Tom O'Reilly)
Subject: RE: Commercials on the Moon
Organization: Mars Observer TES Project, ASU, Tempe AZ
Distribution: sci.space
Lines: 13

u920496@daimi.aau.dk (Hans Erik Martino Hansen) writes

> How about a Coca Cola logo at the moon, easy way to target billions of
> people.

Arthur C. Clarke was way ahead of you on this one... he wrote a short story
(title?) in the 1950s describing exactly your proposal!

Tom O'Reilly
Department of Geology
Arizona State University


",1
6,"From: et@teal.csn.org (Eric H. Taylor)
Subject: Re: Gravity waves, was: Predicting gravity wave quantization & Cosmic Noise
Summary: Dong ....  Dong ....  Do I hear the death-knell of relativity?
Keywords: space, curvature, nothing, tesla
Nntp-Posting-Host: teal.csn.org
Organization: 4-L Laboratories
Distribution: World
Expires: Wed, 28 Apr 1993 06:00:00 GMT
Lines: 30

In article <C4KvJF.4qo@well.sf.ca.us> metares@well.sf.ca.us (Tom Van Flandern) writes:
>crb7q@kelvin.seas.Virginia.EDU (Cameron Randale Bass) writes:
>> Bruce.Scott@launchpad.unc.edu (Bruce Scott) writes:
>>> ""Existence"" is undefined unless it is synonymous with ""observable"" in
>>> physics.
>> [crb] Dong ....  Dong ....  Dong ....  Do I hear the death-knell of
>> string theory?
>
>     I agree.  You can add ""dark matter"" and quarks and a lot of other
>unobservable, purely theoretical constructs in physics to that list,
>including the omni-present ""black holes.""
>
>     Will Bruce argue that their existence can be inferred from theory
>alone?  Then what about my original criticism, when I said ""Curvature
>can only exist relative to something non-curved""?  Bruce replied:
>""'Existence' is undefined unless it is synonymous with 'observable' in
>physics.  We cannot observe more than the four dimensions we know about.""
>At the moment I don't see a way to defend that statement and the
>existence of these unobservable phenomena simultaneously.  -|Tom|-

""I hold that space cannot be curved, for the simple reason that it can have
no properties.""
""Of properties we can only speak when dealing with matter filling the
space. To say that in the presence of large bodies space becomes curved,
is equivalent to stating that something can act upon nothing. I,
for one, refuse to subscribe to such a view."" - Nikola Tesla

----
 ET  ""Tesla was 100 years ahead of his time. Perhaps now his time comes.""
----
",1
7,"From: pyron@skndiv.dseg.ti.com (Dillon Pyron)
Subject: Re: What planets are habitable
Lines: 32
Nntp-Posting-Host: skndiv.dseg.ti.com
Reply-To: pyron@skndiv.dseg.ti.com
Organization: TI/DSEG VAX Support


In article <C6Az8z.pD@zoo.toronto.edu>, henry@zoo.toronto.edu (Henry Spencer) writes:
>In article <1rpt1v$q5h@hsc.usc.edu> khayash@hsc.usc.edu (Ken Hayashida) writes:
>>As for human tolerances, the best example of human endurance in terms
>>of altitude (i.e. low atmospheric pressure and lower oxygen partial pressure)
>>is in my opinion to the scaling of Mt. Everest without oxygen assistance...
>>... This is quite a feat of physiological endurance...
>
>Indeed so; it's at the extreme limit of what is humanly possible.  It is
>possible only because Mount Everest is at a fairly low latitude:  there
>is a slight equatorial bulge in the atmosphere -- beyond what is induced
>by the Earth's rotation -- thanks to the overall circulation pattern of
>the atmosphere (air cools at poles and descends, flowing back to equator
>where it is warmed and rises), and this helps just enough to make Everest-
>without-oxygen feasible.  Only just feasible, mind you:  the guys who did
>it reported hallucinations and other indications of oxygen starvation,
>and probably incurred some permanent brain damage.

Climbers regard 8000 metres and up as ""The Death Zone"".  Even on 100% Oxygen,
you are slowly dying.  At 8848m (Everest), most climbers spend only a short
period of time before descending.  I've been above 8000 once.  Descending as
little as 300m feels like walking into a jungle, the air is so thick.  Everest
in winter without oxygen, no support party (Alpine style).  That is the
""ultimate challenge"" (or is it solo?)
--
Dillon Pyron                      | The opinions expressed are those of the
TI/DSEG Lewisville VAX Support    | sender unless otherwise stated.
(214)462-3556 (when I'm here)     |
(214)492-4656 (when I'm home)     |Texans: Vote NO on Robin Hood.  We need
pyron@skndiv.dseg.ti.com          |solutions, not gestures.
PADI DM-54909                     |

",1
8,"From: henry@zoo.toronto.edu (Henry Spencer)
Subject: Re: Combo Propulsion System!?
Organization: U of Toronto Zoology
Lines: 20

In article <1993May1.043916.1@aurora.alaska.edu> nsmca@aurora.alaska.edu writes:
>How hard or easy would it be to have a combo mission such as a solar sail on
>the way out to the outer planets, but once in near to orbit to use more normal
>means..

If you've got a good propulsion system that's not useful for deceleration,
sure you can use chemical rockets for that part... but even just doing the
deceleration chemically is a major headache.  We're talking seriously high
cruising velocities; taking the velocity down nearly to zero for a Pluto
orbit isn't easy with chemical fuels.

Incidentally, solar sails are not going to be suitable as the acceleration
system for something like this.  They don't go anywhere quickly.  (I speak
as head of mission planning for the Canadian Solar Sail Project, although
that is more or less an honorary title right now because CSSP is dormant.)
They can't fly a mission like this unless you start talking about very
advanced systems that drop in very close to the Sun first.
-- 
SVR4 resembles a high-speed collision   | Henry Spencer @ U of Toronto Zoology
between SVR3 and SunOS.    - Dick Dunn  |  henry@zoo.toronto.edu  utzoo!henry
",1
9,"From: peterson@pms001.pms.ford.com (Doug Peterson)
Subject: NCAA Hockey Final
Organization: Ford Motor Company
Lines: 34
Distribution: world
Reply-To: peterson@pms860.pms.ford.com
NNTP-Posting-Host: pms001.pms.ford.com
Keywords: college

I haven't seen anyone post this so I will do the honors.

Maine beat LSSU 5-4 in Milwaukee on Saturday night.  It was quite a game.
Maine stormed to a 2-0 lead in the first and looked like they might run away
with it.  Maine's first goal came inside the first thirty seconds of the game.
LSSU came back at the end of the period to cut the lead to 2-1.

LSSU came out in the second dominating the play particularly along the boards.
The play went quickly with the refs running a no-holds-barred type of game.
LSSU scored three more unanswered goals to lead 4-2 at the end of the second.
Now it looked like LSSU might just walk away with the game.

Coach Walsh, of Maine, replaced the starting goalie Dunham with Snow, who won
the game against Michigan.  Snow proved to be a much more aggressive goalie.
The third period, like the second, belonged to the team behind.  Maine scored
three unanswered goals in a span of five minutes after the four minute mark.
They were all scored by Jim Montgomery, the tournament MVP, and all assisted by
Paul Kariya.

The last minute of the game bears highlighting.  The change to Snow also
proved the difference in the end.  With one minute to go and with the LSSU
goalie pulled, Snow dueled with a LSSU forward in a amazing set of moves by
both.  Snow won.  It was a great way to end the game.

This year's three championships games were sold out last year in about one
month.  The Bradley Center holds approximately 17,700.  

-- 
+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+
Douglas J. Peterson                   Have         _--____    ____
peterson@pms860.pms.ford.com            you        `   /  ----        / 
Safety Laboratories Department            driven     -/- __  ____ _  /
Ford Motor Company                           a    .  /  / \--/___/ \/
(313) 390-8089                                    \_/  ,\_/ /    \_/_   lately?
",0
